genreId:ID(Genre),name
m.010bt5pz,British Cinema
m.010ktfjf,/m/04rlf
m.010r9v0p,Action
m.0113k739,Estonian animation
m.011869tv,Fantasy
m.0118gzs3,Parody film
m.01199x0y,Mystery film
m.0119mbcs,Crime film
m.0119r056,Science fiction film
m.011c3pwp,Fiction
m.011l6gdv,Drama
m.011p3p5q,Fantasy
m.011ys5,Farce
m.0127jb,Magic realism
m.012l9kh5,Police Comedy
m.012lzc,Self-help
m.012r3k9w,Non-fiction
m.012vwt0n,Dokumentarfilm
m.01311grm,inspirational film
m.014dsx,Travel
m.014g0t,Supermarionation
m.014lxl,Paranormal
m.0157xl,Tutorial
m.01585b,Slasher
m.015md7,Hagiography
m.015w9s,Television film
m.015www,Documentation
m.0163cl,Bedroom farce
m.016c68,Adult
m.016vh2,Caper story
m.016wny,Newsreel
m.017fp,Biography
m.017g5,B-boying
m.017rf8,Techno-thriller
m.018ng8,Television advertisement
m.018sjn,Revenge
m.018td,Blaxploitation film
m.019_rr,Lifestyle
m.01bbmd6,Horor
m.01bsxb,Collage
m.01chg,Bollywood
m.01drsx,Disaster Film
m.01dvw4,Social guidance film
m.01f9r0,Docudrama
m.01fc50,Anti-war movement
m.01fwzy,Educational entertainment
m.01g6gs,Black-and-white
m.01g6r,BDSM
m.01gcd9,Direct-to-video
m.01hl84,Cinéma vérité
m.01hmnh,Fantasy
m.01hp22,Artistic gymnastics
m.01htzx,Action
m.01hw54,Feature film
m.01hwc6,Absurdism
m.01j1n2,Coming of age
m.01j28z,Rockumentary
m.01j6zc,Foreign legion
m.01jddz,Concert
m.01jfsb,Thriller
m.01jk9n,Pornographic film
m.01jzxy,Art history
m.01klnp,3D film
m.01lmb_,Sword and Sandal film
m.01lp8,Christianity
m.01lrrt,Melodrama
m.01nfk7,Outlaw
m.01pwbn,True crime
m.01pxgq,Romance
m.01pxyy,Hardcore pornography
m.01q03,Cult film
m.01qpc,Cyberpunk
m.01r7_1,Technicolor
m.01rbb,Crime
m.01rvlb,Science fantasy
m.01rywy,Damsel in distress
m.01sgl,Cycling
m.01t_vv,Comedy-drama
m.01tz3c,Anthology
m.01vq3,Christmas
m.01w613,Variety show
m.01xpr_s,Movies About Gladiators
m.01xpvb7,Airplanes and airports
m.01xpyjx,Erotic Science Fiction
m.01xtwm,Czechoslovak New Wave
m.01yldk,Softcore pornography
m.01z02hx,Sports films
m.01z77k,Miniseries
m.01zhp,Computer Animation
m.01zxzp,Psychological horror
m.0215n,Cartoon
m.0219x_,Indie film
m.021dfr,Youth
m.021pxw,Werewolf fiction
m.0220p9g,Musical comedy
m.022wy7,New Queer Cinema
m.023cfr,Television pilot
m.023dwm,Motion capture
m.023pxm,Reboot
m.0253g1,Epic Western
