"Project.ID","School.ID","Teacher.ID","Teacher.Project.Posted.Sequence","Project.Type","Project.Title","Project.Subject.Category.Tree","Project.Subject.Subcategory.Tree","Project.Grade.Level.Category","Project.Resource.Category","Project.Cost","Project.Posted.Date","Project.Current.Status","Project.Fully.Funded.Date"
"084d3dd2b20fbe3d563802252a9c1e11","002775859958c4781d5b24aff76c3505","6921ef8ba1e4c15c6302b0d5d790aa84","8","Teacher-Led","Help With Reading","Literacy & Language","Literacy","Grades PreK-2","Books","$308.56","2013-02-07","Fully Funded","2013-02-07"
"08eaf8d93831615ad2a617b01899c7d9","002775859958c4781d5b24aff76c3505","8d9cac81c6f05c0aeabb0d768bfa0831","3","Teacher-Led","Working Together through Playing Games","Applied Learning, Literacy & Language","Character Education, Literacy","Grades 3-5","Other","$481.78","2013-02-15","Fully Funded","2013-03-18"
"3e0a30d8c477583557eefffd1b6913e5","001f5cac2eff62e8a4ac8e70a72d010a","0fc09f8f79bfcb1982267678fd25dc00","1","Teacher-Led","Laboratory Simulations","Math & Science","Applied Sciences","Grades 6-8","Technology","$801.69","2013-05-13","Expired",""
"efeda9ae88444d87606e8be46a63f124","001f5cac2eff62e8a4ac8e70a72d010a","f9aeaece72692b241e0102aed63545d9","5","Teacher-Led","Restock the Science Supply Cabinet!","Math & Science","Applied Sciences, Health & Life Science","Grades 6-8","Supplies","$595.20","2013-06-27","Fully Funded","2013-07-18"
"70380357f29a4460f0dc868041cd0711","001f5cac2eff62e8a4ac8e70a72d010a","7b9f69d6686d1fcc0b68dc737a07a2eb","2","Teacher-Led","Visualize Our Students' Learning Experience","Math & Science, Literacy & Language","Health & Life Science, Literature & Writing","Grades 6-8","Technology","$1,047.25","2013-07-18","Expired",""
"39f9ace531460f654984a80384391a5f","002775859958c4781d5b24aff76c3505","8d9cac81c6f05c0aeabb0d768bfa0831","4","Teacher-Led","Making Arts And Crafts","Music & The Arts","Visual Arts","Grades 3-5","Supplies","$387.74","2013-08-12","Expired",""
"051620eb654cbe94613859211ceb23e0","0013a562a6af65ff472558d5ac6d462d","999c13248f2533ba19968b410613f166","1","Teacher-Led","Listening Center","Literacy & Language, Math & Science","Literacy, Mathematics","Grades PreK-2","Technology","$837.15","2013-09-08","Fully Funded","2013-10-24"
"84dcf5cff4f10bba5a8c60256bd7e2a9","000ef91ec1409e4e04f4fca354614919","cfa084863f8f7e74933d61746ba5c9f1","1","Teacher-Led","Hands-On Fractions for 7th Grade Math Learners","Math & Science","Mathematics","Grades 6-8","Other","$230.48","2013-09-23","Fully Funded","2013-09-25"
"ee1c65332330e9218d57dcca1e9de62b","002775859958c4781d5b24aff76c3505","8d9cac81c6f05c0aeabb0d768bfa0831","5","Teacher-Led","Toon into Comics Reading","Literacy & Language","Literacy","Grades 3-5","Books","$766.07","2013-10-01","Expired",""
"50b83afb6ab1396437deb84aff9a1920","000a21e544223a6cf1f3a79136275584","9e772b411eaac61b3541faedde6387ef","1","Teacher-Led","Help Complete Our Piano Lab!","Music & The Arts","Music","Grades 9-12","Technology","$347.61","2013-10-25","Fully Funded","2013-11-11"
